Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.16  released 5-9-2005  

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI  7-08-2005   9:09:06
Solution file PAR.T35.
Memory used for PAR.T35 arrays:       4.179 M
Reading keyword commands and data from file:
PAR.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (-21.001,0.0)
(Zmax,Rmax) = (23.81233,60.8499985)
Z and R increments:    94   122

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   7.12652       0.00000      9.872317E-01  0.000000E+00  9.872317E-01  0.000000E+00
   7.60325       0.00000      9.829255E-01  0.000000E+00  9.829255E-01  0.000000E+00
   8.07999       0.00000      9.784245E-01  0.000000E+00  9.784245E-01  0.000000E+00
   8.55673       0.00000      9.737206E-01  0.000000E+00  9.737206E-01  0.000000E+00
   9.03347       0.00000      9.688024E-01  0.000000E+00  9.688024E-01  0.000000E+00
   9.51020       0.00000      9.636612E-01  0.000000E+00  9.636612E-01  0.000000E+00
   9.98694       0.00000      9.582847E-01  0.000000E+00  9.582847E-01  0.000000E+00
   10.4637       0.00000      9.526599E-01  0.000000E+00  9.526599E-01  0.000000E+00
   10.9404       0.00000      9.467760E-01  0.000000E+00  9.467760E-01  0.000000E+00
   11.4172       0.00000      9.406166E-01  0.000000E+00  9.406166E-01  0.000000E+00
   11.8939       0.00000      9.341690E-01  0.000000E+00  9.341690E-01  0.000000E+00
   12.3706       0.00000      9.274156E-01  0.000000E+00  9.274156E-01  0.000000E+00
   12.8474       0.00000      9.203369E-01  0.000000E+00  9.203369E-01  0.000000E+00
   13.3241       0.00000      9.129165E-01  0.000000E+00  9.129165E-01  0.000000E+00
   13.8008       0.00000      9.051319E-01  0.000000E+00  9.051319E-01  0.000000E+00
   14.2776       0.00000      8.969584E-01  0.000000E+00  8.969584E-01  0.000000E+00
   14.7543       0.00000      8.883756E-01  0.000000E+00  8.883756E-01  0.000000E+00
   15.2311       0.00000      8.793533E-01  0.000000E+00  8.793533E-01  0.000000E+00
   15.7078       0.00000      8.698684E-01  0.000000E+00  8.698684E-01  0.000000E+00
   16.1845       0.00000      8.598900E-01  0.000000E+00  8.598900E-01  0.000000E+00
   16.6613       0.00000      8.493863E-01  0.000000E+00  8.493863E-01  0.000000E+00
   17.1380       0.00000      8.383318E-01  0.000000E+00  8.383318E-01  0.000000E+00
   17.6147       0.00000      8.266929E-01  0.000000E+00  8.266929E-01  0.000000E+00
   18.0915       0.00000      8.144454E-01  0.000000E+00  8.144454E-01  0.000000E+00
   18.5682       0.00000      8.015615E-01  0.000000E+00  8.015615E-01  0.000000E+00
   19.0450       0.00000      7.880186E-01  0.000000E+00  7.880186E-01  0.000000E+00
   19.5217       0.00000      7.738023E-01  0.000000E+00  7.738023E-01  0.000000E+00
   19.9984       0.00000      7.589021E-01  0.000000E+00  7.589021E-01  0.000000E+00
   20.4752       0.00000      7.433198E-01  0.000000E+00  7.433198E-01  0.000000E+00
   20.9519       0.00000      7.270621E-01  0.000000E+00  7.270621E-01  0.000000E+00
   21.4286       0.00000      7.101565E-01  0.000000E+00  7.101565E-01  0.000000E+00
   21.9054       0.00000      6.926314E-01  0.000000E+00  6.926314E-01  0.000000E+00
   22.3821       0.00000      6.745443E-01  0.000000E+00  6.745443E-01  0.000000E+00
   22.8589       0.00000      6.560036E-01  0.000000E+00  6.560036E-01  0.000000E+00
   23.3356       0.00000      6.372329E-01  0.000000E+00  6.372329E-01  0.000000E+00
   23.8123       0.00000      6.188512E-01  0.000000E+00  6.188512E-01  0.000000E+00
  -21.0010      0.498770      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -20.5243      0.498770      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -20.0475      0.498770      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -19.5708      0.498770      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -19.0940      0.498770      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -18.6173      0.498770      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -18.1406      0.498770      1.438704E+00  2.140729E-02  1.438863E+00  4.001529E+01
  -17.6638      0.498770      1.394148E+00  2.062681E-02  1.394301E+00  3.887707E+01
  -17.1871      0.498770      1.356043E+00  1.871691E-02  1.356172E+00  3.782758E+01
  -16.7104      0.498770      1.322165E+00  1.675456E-02  1.322271E+00  3.688289E+01
  -16.2336      0.498770      1.291998E+00  1.492362E-02  1.292084E+00  3.604003E+01
  -15.7569      0.498770      1.265137E+00  1.327544E-02  1.265207E+00  3.529010E+01
  -15.2801      0.498770      1.241265E+00  1.180631E-02  1.241322E+00  3.462289E+01
  -14.8034      0.498770      1.220042E+00  1.049426E-02  1.220088E+00  3.402970E+01
  -14.3267      0.498770      1.201161E+00  9.331664E-03  1.201198E+00  3.350253E+01
