0	82
3	77
5	71
6	20
8	2
8	65
8	124
10	81
11	49
11	98
11	99
11	100
11	101
11	102
13	5
13	120
14	81
16	96
16	97
16	98
16	99
16	100
16	101
16	102
16	103
18	0
18	1
18	1
18	5
18	6
18	9
18	10
18	16
18	51
18	53
18	57
18	58
18	61
18	62
21	60
21	69
21	73
21	77
21	78
21	113
22	0
22	5
22	46
22	5
22	60
22	62
22	59
26	76
27	64
27	113
27	124
28	49
28	58
28	60
31	112
31	113
31	114
31	115
31	116
31	117
31	118
31	119
32	121
32	122
32	123
32	124
32	125
32	126
32	127
33	0
33	1
33	64
34	0
39	31
40	37
42	119
43	52
44	112
44	113
44	114
44	115
44	116
44	117
44	118
44	119
44	120
44	121
44	122
44	123
44	124
44	125
44	126
44	127
45	56
45	57
45	58
45	59
45	60
45	61
45	62
45	63
45	64
45	96
45	97
45	98
45	99
45	100
45	101
45	102
45	103
45	104
45	105
45	106
45	107
45	108
45	109
45	110
45	111
45	112
45	113
45	114
45	115
45	116
45	117
45	118
45	119
45	120
45	121
45	122
45	123
45	124
45	125
45	126
45	127
47	88
48	65
48	71
49	0
50	95
49	51
49	52
50	97
50	98
50	99
50	100
50	101
50	102
51	49
51	53
52	47
53	0
53	1
53	2
53	3
53	4
53	5
53	6
53	7
53	8
53	9
53	10
53	11
53	12
53	13
53	14
53	15
53	16
53	17
53	18
53	19
53	20
53	21
53	22
53	23
53	24
53	25
53	26
53	27
53	28
53	29
53	30
53	31
53	32
53	33
53	34
53	35
53	36
53	37
53	38
53	39
53	40
53	41
53	42
53	43
53	44
53	45
53	46
53	47
53	48
53	49
53	50
53	51
53	52
53	53
53	54
53	55
53	56
53	57
53	58
53	59
53	60
53	61
53	62
53	63
53	95
53	106
53	109
54	92
56	24
56	32
57	17
59	0
59	1
59	2
59	3
59	4
59	5
59	6
59	8
60	13
60	64
60	65
60	66
60	67
60	68
60	69
60	70
60	72
60	126
61	59
63	120
