#BLTrackFile NTuple/Z15050
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-189.27 56.6026 15050 -195.236 64.1636 330.146 67.8213 211 42743 1 0 1
-252.158 233.436 15050 -134.976 114.229 161.694 68.4946 -13 42768 1001 1 1
116.167 -28.7476 15050 157.639 -45.8918 395.965 63.9986 -13 43015 1001 1 1
-256.247 70.6671 15050 -238.246 68.546 300.326 73.0678 211 45065 1 0 1
40.099 27.025 15050 35.9531 25.3845 421.669 52.3141 -13 45393 1001 1 1
25.7923 107.056 15050 26.4028 94.4686 369.028 57.9165 -13 45984 1001 1 1
-136.511 -24.801 15050 -76.2046 -52.6721 188.601 124.851 -13 46369 1001 1 1
52.4038 -27.2707 15050 9.61858 -30.5704 52.1691 60.9838 22 47113 1005 1004 1
-62.7704 -130.663 15050 -12.1344 -141.22 368.903 119.371 211 47177 1 0 1
27.0818 71.6384 15050 4.13326 61.5917 386.94 63.5916 211 47445 1 0 1
-162.398 157.014 15050 -152.705 148.509 323.663 62.0496 211 47665 1 0 1
-273.135 9.7784 15050 -186.77 0.827844 204.131 132.088 -13 48029 1001 1 1
25.3111 64.9413 15050 6.42544 35.2171 330.231 74.2281 -13 48183 1001 1 1
-166.64 -15.7603 15050 -163.771 -19.3747 282.417 94.3068 -13 48268 1001 1 1
47.1014 -21.4731 15050 58.0888 -30.0361 341.626 54.1859 -13 48539 1001 1 1
-3.45725 40.4454 15050 -5.13785 10.1858 305.003 141.272 -13 48850 1001 1 1
92.462 57.3823 15050 69.1222 39.2052 318.457 66.8228 -13 48909 1001 1 1
-34.6571 -19.4871 15050 -70.2806 -31.0134 380.612 75.8219 211 48979 1 0 1
-12.5139 -7.70944 15050 -29.7156 -42.3504 393.194 67.972 211 49182 1 0 1
-10.2901 -1.58048 15050 -13.1766 -50.0057 398.794 118.516 211 49683 1 0 1
-8.98813 147.574 15050 -9.1202 149.735 385.955 54.4005 -13 50963 1001 1 1
26.6449 46.2368 15050 11.618 20.9632 348.642 119.68 -13 52522 1001 1 1
-240.306 35.429 15050 -213.331 26.9831 277.653 94.3343 -13 52698 1001 1 1
-125.927 -50.8212 15050 -162.263 -70.1392 350.25 109.418 211 53144 1 0 1
-166.758 37.7856 15050 -158.079 35.3763 328.473 55.4128 -13 53187 1001 1 1
-63.7685 111.741 15050 -40.8526 77.4773 342.115 169.783 -13 54323 1001 1 1
-20.9995 -26.9517 15050 -51.2106 -58.8538 382.309 79.4005 211 55672 1 0 1
-184.359 108.272 15050 -133.435 81.6809 226.6 63.0556 -13 55952 1001 1 1
-210.713 222.239 15050 -182.106 192.607 281.511 81.0148 211 56631 1 0 1
-217.936 10.1733 15050 -151.559 7.99058 225.78 123.645 -13 57244 1001 1 1
9.83815 13.5857 15050 7.11439 22.9283 365.002 52.8669 -13 57601 1001 1 1
-150.957 -103.568 15050 -125.757 -89.3648 254.219 141.135 -13 58234 1001 1 1
-236.764 -118.849 15050 -197.83 -108.398 264.164 101.468 -13 58402 1001 1 1
166.794 164.451 15050 157.717 168.187 315.282 62.4188 -13 58569 1001 1 1
-144.115 198.009 15050 -127.082 170.907 313.767 62.9928 -13 58635 1001 1 1
-78.4593 31.7479 15050 -73.8946 4.44837 261.367 68.5899 -13 58882 1001 1 1
-115.882 45.0775 15050 -101.829 43.4573 265.468 86.1586 -13 59518 1001 1 1
-116.911 37.097 15050 -112.795 32.8534 264.737 84.8087 -13 59833 1001 1 1
23.0986 73.3154 15050 -6.76157 15.6669 64.2506 82.0713 22 59881 1007 1006 1
-0.254377 27.793 15050 0.234807 28.3503 365.004 52.9192 -13 59932 1001 1 1
-271.579 -14.6249 15050 -251.725 -7.8024 299.525 85.0122 211 61545 1 0 1
108.156 -61.2128 15050 92.5958 -50.7426 355.929 58.8421 -13 64188 1001 1 1
-177.469 -7.03389 15050 -182.587 -8.2079 355.938 56.5703 -13 66254 1001 1 1
-240.345 69.3048 15050 -228.691 70.6617 305.836 73.4101 211 66263 1 0 1
39.6224 71.5566 15050 22.5964 43.4032 390.985 119.246 -13 66720 1001 1 1
120.996 -3.74417 15050 139.808 -0.798957 329.668 65.157 -13 67128 1001 1 1
