52
1 1 0 0 4 2 1 1 ttf1a
1 1 0 1 4 2 1 2 ttf1b
1 1 0 2 4 2 2 1 ttf2a
1 1 0 3 4 2 2 2 ttf2b
1 1 0 4 4 2 3 1 ttf3a
1 1 0 5 4 2 3 2 ttf3b
1 1 0 6 4 2 4 1 ttf4a
1 1 0 7 4 2 4 2 ttf4b
1 1 0 8 4 2 5 1 ttf5a
1 1 0 9 4 2 5 2 ttf5b
1 1 0 10 1 1 1 1 tt1r
1 1 0 11 1 1 1 2 tt1l
1 1 0 12 2 1 1 1 tr1r
1 1 0 13 2 1 1 2 tr1l
1 1 1 0 4 1 6 1 ttf6a
1 1 1 1 4 1 6 2 ttf6b
1 1 1 2 4 1 7 1 ttf7a
1 1 1 3 4 1 7 2 ttf7b
1 1 1 4 4 1 8 1 ttf8a
1 1 1 5 4 1 8 2 ttf8b
1 1 1 6 4 1 9 1 ttf9a
1 1 1 7 4 1 9 2 ttf9b
1 1 1 8 4 1 10 1 ttf10a
1 1 1 9 4 1 10 2 ttf10b
1 1 1 12 5 1 1 1 td1
1 1 1 13 6 1 1 1 td2
2 1 0 14 4 2 1 1 atf1a
2 1 0 13 4 2 1 2 atf1b
2 1 0 12 4 2 2 1 atf2a
2 1 0 11 4 2 2 2 atf2b
2 1 0 10 4 2 3 1 atf3a
2 1 0 9 4 2 3 2 atf3b
2 1 0 8 4 2 4 1 atf4a
2 1 0 7 4 2 4 2 atf4b
2 1 0 6 4 2 5 1 atf5a
2 1 0 5 4 2 5 2 atf5b
2 1 0 30 4 1 6 1 atf6a
2 1 0 29 4 1 6 2 atf6b
2 1 0 28 4 1 7 1 atf7a
2 1 0 27 4 1 7 2 atf7b
2 1 0 26 4 1 8 1 atf8a
2 1 0 25 4 1 8 2 atf8b
2 1 0 24 4 1 9 1 atf9a
2 1 0 23 4 1 9 2 atf9b
2 1 0 22 4 1 10 1 atf10a
2 1 0 21 4 1 10 2 atf10b
2 1 2 0 1 1 1 1 at1r
2 1 2 2 1 1 1 2 at1l
2 1 2 4 2 1 1 1 ar1r
2 1 2 6 2 1 1 2 ar1l
2 1 2 8 5 1 1 1 ad1
2 1 2 10 6 1 1 1 ad2
