NumberOfPoints 22
Units	mm	
Z	RInner	ROuter
0	0	0
0.38	0	21.35
0.55	10	23.58
1.05	20	29.25
1.88	30	36.81
3.06	40	45.32
4.58	50	54.34
6.44	60	63.65
8.66	70	73.14
11.24	80	81.46
13.83	90	91.59
16.21	100	101.73
18.37	110	111.91
20.31	120	122.13
22.04	130	132.4
23.57	140	142.75
24.89	150	153.24
26	160	163.93
26.91	170	175.04
27.61	180	187.14
28.12	190	205.16
28.42	200	210
28.52	210	210
